Grant Title,Grant Link,Agency,Deadline,Description
Enhanced Surveillance and Control of Endemic and Emerging Arboviruses in Puerto Rico,https://grants.gov/search-results-detail/357922,HHS-CDC-HHSCDCERA,02/28/2025,This proposal aims to improve monitoring and control measures for both long-established and newly emerging arboviruses in Puerto Rico to protect public health.
Poison Control Program Competitive Supplement,https://grants.gov/search-results-detail/358299,HHS-HRSA,04/22/2025,"This initiative seeks supplemental funding to bolster poison control services, enhancing rapid response and prevention efforts."
State Electronic Crash Data Collection,https://grants.gov/search-results-detail/345645,DOT-NHTSA,no data,This project focuses on collecting and analyzing electronic crash data to support improved road safety and transportation planning.
Ryan White HIV/AIDS Program Part B States/Territories Supplemental Grant Program,https://grants.gov/search-results-detail/354778,HHS-HRSA,03/18/2025,This grant program provides additional funding to support HIV/AIDS services and improve care outcomes in states and territories.
Senior Medicare Patrol State Project Grants - Michigan,https://grants.gov/search-results-detail/357574,HHS-ACL,03/14/2025,This proposal supports state initiatives in Michigan to enhance Medicare fraud prevention and improve program oversight.
National Coordinating Center for Language Access Services,https://grants.gov/search-results-detail/355829,HHS-OPHS,no data,This project aims to establish a central hub for coordinating language access services to ensure effective communication across diverse populations.
Promoting Access with a Language Services Assistance Symbol,https://grants.gov/search-results-detail/355830,HHS-OPHS,no data,This initiative develops and promotes a standard symbol to signal the availability of language assistance services.
Demonstrations Reducing Dementia Disparities,https://grants.gov/search-results-detail/355824,HHS-OPHS,no data,This proposal funds demonstration projects designed to reduce disparities in dementia care and improve health outcomes for affected groups.
Innovative Approaches for Reducing Disparities in Kidney Health,https://grants.gov/search-results-detail/355825,HHS-OPHS,no data,"This project supports innovative strategies to address inequities in kidney health, aiming to improve access to care and treatment results."
Pregnancy and Postpartum Hypertension Control Initiative,https://grants.gov/search-results-detail/355831,HHS-OPHS,no data,This initiative seeks to improve blood pressure control during and after pregnancy to enhance maternal health and reduce complications.
STARBASE Wright Patt,https://grants.gov/search-results-detail/329806,DOD-AFRL,no data,"This proposal supports research and development in aerospace technology through the STARBASE program, fostering innovation and advanced capabilities."
Community Facilities Program Disaster Repair Grants,https://grants.gov/search-results-detail/348870,USDA-RHS,no data,"This grant program provides funding to repair and restore community facilities damaged by disasters, promoting community recovery."
Senior Medicare Patrol (SMP) Resource Center,https://grants.gov/search-results-detail/358018,HHS-ACL,no data,This initiative establishes a centralized resource center to support and enhance the efforts of the Senior Medicare Patrol in fraud prevention.
SMART FY25 Maintenance and Operation of the Dru Sjodin National Sex Offender Public Website,https://grants.gov/search-results-detail/358083,USDOJ-OJP-SMART,02/24/2025,This proposal funds the ongoing maintenance and operation of a national public website that provides updated sex offender information.
State Health Insurance Assistance Program (SHIP) Technical Assistance (TA) Center,https://grants.gov/search-results-detail/357806,HHS-ACL,no data,This project aims to create a technical assistance center to support state SHIP programs and improve consumer access to health insurance information.
Veterans Cemetery Grants,https://grants.gov/search-results-detail/358437,VA-NCA,07/01/2025,This grant program provides funds for the maintenance and improvement of veterans’ cemeteries to ensure dignified final resting places.
